ACIft,ADI,ACItf,BI,TE,ESM,NDSI,P,M,NP,MID,BNF,MD,FM,SF,RMS,CF,ADIm1,ADIm2,ADIm3,ADIm4,ADIm5,ADIm6,ADIm7,ADIm8,ADIm9,ADIm10,ADIm11,target
-0.305990019,-0.165560566,-0.847640829,0.358246521,0.880708377,0.745410997,-0.484944568,-0.419615603,0.160537021,-0.598104151,1.040015766,-0.630372469,0.297406665,0.785260031,-0.138956984,0.086281749,-0.581170804,1.113430189,1.043262493,0.794527036,1.480132793,0.437978851,-0.162328318,0.655398369,0.804844299,0.517525266,0.566780771,0.666223055,1
-0.560255513,-0.430877744,-0.6126988,1.121917817,0.860323824,1.001125157,-0.460772263,0.156141358,0.166849813,-0.504656277,0.747973705,-0.618593945,0.306949185,0.264414514,-0.164817401,0.09262229,-0.574600542,1.013467251,0.710182213,0.74741344,1.172226426,-0.180912516,-0.202452089,0.083697221,0.831453852,0.707020807,0.760803653,0.590934447,1
-0.280338374,-0.153801006,-0.642551068,0.041067731,0.273331596,0.574240659,-0.249039873,0.268656791,-1.231346413,-0.780840902,-0.251184346,-0.504484977,-0.679432215,0.618855011,0.22892025,-1.172068029,-0.516176392,-0.415498974,-0.528098325,-0.319651611,0.629820739,-0.400841936,-0.295586328,-0.298862914,0.279929195,0.281425611,0.266629758,0.546506038,1
-0.316401977,-0.417427398,-0.481639458,0.1044407,0.164504657,0.506611965,0.118164141,0.40317176,-1.221148477,-0.589284278,-0.469483412,-0.51738152,-0.659748545,0.467903488,0.245567937,-1.141932472,-0.380141493,-0.426689527,-0.461117216,-0.579265161,0.270686893,-0.70467633,-0.798898595,-0.428320732,-0.182561075,-0.119375763,-0.010168513,0.310122034,1
-0.333508406,-0.496036069,-0.704868907,-0.212562879,-0.086565615,0.471575888,0.074472625,-0.232104134,-1.208565027,-0.56860487,-0.298149716,-0.504017334,-0.785826988,0.847904027,0.172389151,-1.054574178,-0.300369023,-0.319405591,-0.424419719,-0.229383956,0.428865097,-0.490078706,-0.861169164,-0.835883857,-0.522413841,0.146624629,0.028499056,0.429784625,1
-0.755900497,-0.883818144,-0.709282218,-1.085957937,-0.299560281,0.400122651,-0.089437503,-0.661848067,-1.178800905,-0.591126445,-0.479949617,-0.507425649,-0.829201846,0.667792363,0.444886608,-0.947607537,-0.235513836,-0.530661599,-0.442279673,-0.119926753,0.251050069,-0.19046805,-0.529680109,-0.986281562,-0.336021854,0.331741552,0.187828987,0.378941466,1
-0.811225762,-1.81907065,-0.636946422,-1.088329511,-0.42206731,0.321445702,-0.503646194,-0.320164263,-1.186736776,-0.580126581,-0.52805063,-0.496291782,-0.896815965,0.553389036,-0.315204889,-1.005338656,-0.273078245,-0.781800568,-0.344946589,-0.081128947,0.689557905,-0.11757962,-0.453053243,-0.081728176,-0.318629317,0.019810485,0.175715326,0.403158154,1
-0.888806931,-0.092445937,-0.5427908,-1.05055363,0.664706594,1.118735075,-0.069432946,-0.626888424,-1.260223287,-0.726698451,0.163988738,-0.569967571,-0.447521993,0.223916085,1.424593737,-1.213848933,-0.339747346,-0.238721744,-0.501042183,-0.128168838,0.606900394,0.248181286,-0.068352202,-0.653451988,0.300338616,0.791428849,0.809770294,1.06577869,1
-1.000235308,-1.356407083,-1.155484463,-1.73268826,0.118249345,1.245545522,-1.576113399,-0.276512389,-1.225119853,-0.737683876,-0.487790494,-0.530250928,-0.445307765,1.355656414,0.501026641,-1.080224856,0.620845541,-1.630184268,0.189721362,1.016600571,1.684334148,1.561966372,1.075468504,1.075964945,1.297676939,0.998066969,0.832450895,0.730906852,1
-0.272811753,-0.128782002,-0.454971905,0.079107265,0.052853652,0.339369044,-0.07036994,0.473433846,-1.212975938,-0.468940774,-0.202259931,-0.497471746,-0.830911931,0.45816647,0.260455371,-1.112874475,-0.374308454,-0.414435147,-0.962172443,-0.612117153,0.329252037,-0.694503537,-0.935395539,-0.248126258,-0.474603065,0.054106829,0.006944342,0.097747385,1
-0.61508608,-1.287978946,-0.873826481,-0.828379841,-0.657763565,0.514839553,-0.524438266,-0.209236245,-1.15848515,-0.476639032,-0.559397179,-0.464755184,-0.936266187,0.939359889,-0.316887641,-0.910313292,-0.148269132,-1.259229058,-0.805998625,-0.358941927,0.325726794,-0.247567924,-0.95356457,-0.379365554,-0.669414201,0.051022431,0.189273845,0.361967262,1
0.162475168,0.868596314,-0.393413389,0.805154826,0.104520853,0.165590019,0.601428554,0.666865819,-1.215312036,-0.751449676,-0.15344927,-0.51108413,-0.992888827,0.407251145,-0.084623606,-1.127000987,-0.397464979,-0.037873563,-0.562175674,-0.847036643,-0.242125185,-1.213146434,-2.185331135,-1.757604094,-1.07386601,-0.820167706,-0.591433485,-0.536829724,1
0.050424624,0.506462135,-0.333026493,0.725425702,-0.064996389,0.156690307,0.596709028,0.514546195,-1.209765588,-0.762501151,-0.410199987,-0.511730464,-1.122256108,0.379114179,-0.043993441,-1.096108812,-0.39324453,-0.097391918,-0.483416769,-0.92217511,-0.131177385,-1.245907583,-2.425724309,-1.925773772,-1.394463292,-1.441267329,-0.875208809,-0.879051049,1
0.15345281,-0.056551981,-0.228279199,0.708942086,-0.233743815,0.199814232,0.618464698,0.568847996,-1.18559412,-0.553822556,-0.402551863,-0.497513079,-1.198556459,0.308940412,-0.219424098,-1.04759697,-0.32224663,-0.152505606,-0.487547534,-1.029450738,-0.284178249,-1.311136021,-2.421513187,-2.052412882,-1.530514607,-1.428637108,-0.983595414,-1.214448975,1
-0.255658682,-0.612493316,-0.893594119,0.022672011,0.902783765,0.489547895,-0.622718855,-0.855828969,0.167228497,-0.497613599,1.456625241,-0.6369394,-0.099366874,0.824598492,0.334259899,0.092390702,-0.58272896,1.29886769,1.377945912,1.527310327,1.671548424,1.553146787,1.360815739,1.522605004,1.165436937,0.562504897,0.364215573,0.208957189,2
-0.053898296,-0.778902307,-0.971309946,0.129875031,0.902258254,0.538971649,-0.801661733,-0.84991814,0.159892869,-0.323954607,1.358602577,-0.633736568,-0.06517095,1.032300759,0.378683727,0.085567775,-0.582280363,1.302214989,1.364631935,1.485582903,1.670552813,1.375458835,1.598300127,1.573589684,1.107643066,0.357598597,0.239382497,0.103043273,2
